source,title,company,location,date_posted_raw,salary_raw,url,description,scraped_at_utc,role_category,region,skills,num_skills,salary_min_usd_year,salary_max_usd_year,salary_unit_guess,salary_mid_usd_year
RemoteOK,Finance Manager,ReFED,USA,2025-12-15T00:00:16+00:00,,https://remoteOK.com/remote-jobs/remote-finance-manager-refed-1129222,"About The Organization ReFED is a U.S.-based nonprofit working to catalyze the food system to take evidence-based action to stop wasting food. We do this by cultivating and convening the food community, delivering actionable evidence and insights, and seeding and accelerating food waste solutions. Starting with the 2016 Roadmap to Reduce U.S. Food Waste, ReFED has produced first-of-their-kind tools and resources, providing a full-supply-chain picture of U.S. food waste, cost-effective solutions to reduce it, and methods to track progress. In 2021, ReFED launched the Insights Engine, an online data center serving as the next generation of data, insights, and guidance on U.S. food waste reduction. Reducing food waste will have a significant impact on mitigating climate change, optimizing the use of water, land, and other resources, and providing meals for the over 47 million people in the United States who currently face food insecurity. We are continuing to grow our team to further build our capacity to achieve our vision of a sustainable, resilient, and inclusive food system that makes the best use of the food we grow. We are a team of doers, and we get a lot accomplished. We create outsized impact, and everyone on the team contributes to accomplishing our shared goals. Learning and professional development are heavily embedded in ReFEDâs culture. We promote cross-functional work to embrace diverse perspectives, experiences, and skills to ensure we are an inclusive and authentic workplace, so if you are excited about this role but your experience does not align perfectly with every qualification in the job description, we encourage you to apply anyway. You may be just the right candidate for this or other roles. Learn more at www.refed.org . Job Purpose The Finance Manager plays a critical role in ensuring the financial integrity and operational efficiency of ReFED. This position manages the day-to-day accounting and financial processes for the organization, as well as our fiscally sponsored project, the Zero Waste Food Coalition. This work includes data maintenance in NetSuite, accounts payable and receivable, payroll, budgeting, contract management, and financial reporting to management, leadership, and the Board of Directors. Working closely with the Director of Finance & Administration, the Finance Manager ensures accurate, timely, and compliant financial data and reporting. This person will also help strengthen internal systems and processes, enhance collaboration between departments, and support the organizationâs commitment to transparency, accountability, and fiscal stewardship. This includes collaborating closely with the Development team to align financial records. Katy Hart is the hiring manager for this position. Applications must be received by January 2, 2026 to be fully considered. \n Key Responsibilities & Duties Data Entry & Maintenance Maintain accurate financial data and transaction records in NetSuite, ensuring proper coding, reconciliation, and documentation. Coordinate with the Finance and Development teams to align financial data across systems (NetSuite, Expensify, Airtable, Salesforce). Manage bookkeeping functions, including accounts payable, accounts receivable, and payroll. Oversee the purchase order system, ensuring proper budget alignment and approvals. Lead the review and reconciliation of all balance sheet accounts on a monthly basis. Budget Support Support the annual budgeting process, facilitating input from department leads and ensuring consistency in templates and assumptions. Support the development of budget presentations to the Board of Directors and the Board Finance Committee. Maintain ongoing budget-to-actuals tracking and flag significant variances for leadership review. Assist in developing rolling forecasts and supporting financial analyses. Continuously refine and document budget workflows and communication processes. Contract Management Manage all vendor contracts, including drafting, reviewing, and ensuring compliance with internal policies. Serve as the point of contact for vendor relationships, addressing issues and ensuring service quality. Track contract terms, deliverables, and renewal dates to ensure continuity and compliance. Support procurement and vendor evaluation processes to ensure fiscal responsibility and equity. Grant & Donor Reporting Maintain financial tracking for grants and restricted funding, ensuring accurate allocations and reporting compliance. Partner with the Development team to produce grant financial reports for funders. Support proposal budgeting and financial planning for new grants. Ensure grant-related financial records are organized, accurate, and audit-ready. Financial Reporting Produce monthly, annual, and ad-hoc financial statements and management reports for ReFED and any fiscally sponsored projects. Collaborate with the Director of Finance & Administration and the organizationâs CPA to complete month-end close activities, including reconciliations, journal entries, and supporting documentation. Prepare specialized financial reporting for the Catalytic Grant Fund (CGF) and other projects funded through restricted revenue or grants. Provide analytical insights and dashboards to leadership to inform decision-making. Audit & Compliance Support Assist the Director of Finance & Administration with annual audit preparation, including responding to auditor requests. Maintain detailed and compliant financial records. Help document and strengthen internal controls and financial processes. Support compliance with GAAP/GAAS standards and nonprofit financial regulations. Qualifications Minimum of 2-4 years of progressive nonprofit finance experience, ideally in organizations with multiple funding streams, restricted grants, and annual audit requirements. Strong working knowledge of NetSuite, Salesforce (or similar CRM system), and Excel required; experience with Expensify and Airtable a plus. Proven experience managing multi-entity accounting and grant reporting preferred. Experience supporting audits, financial reporting, and organizational budgeting processes. Deep understanding of nonprofit accounting principles (GAAP/GAAS). Ability to synthesize complex financial data into clear, actionable insights. Excellent organizational skills with strong attention to detail and accuracy. Proficiency in creating and maintaining financial dashboards and reports. Ability to manage multiple priorities and meet deadlines in a fast-paced environment. Collaborative, solutions-oriented team player who builds trust, confidence, and influence across departments and with diverse individuals. Strong communication skillsâespecially being able to explain financial concepts to non-finance staff. Commitment to ReFEDâs mission and values, including equity, transparency, and data-driven decision-making. Comfort working in a remote and cross-functional environment. Willingness to travel occasionally for team or industry events (e.g., team retreats, conferences). In This Role, You Will Help Address The Following Ensure the financial health and sustainability of ReFED and any fiscally sponsored projects by maintaining accurate, timely, and transparent accounting records. Strengthen operational systems and processes that enable teams to make data-informed decisions and steward funds responsibly. Support the integration and alignment of ReFEDâs financial systems (NetSuite, Salesforce, Expensify, Airtable) to streamline data flow and improve visibility. Support the growth of ReFEDâs organizational capacity to serve as a fiscal sponsor, including advancing the Zero Food Waste Coalition toward independent 501(c)3 status. Manage grant and donor financial reporting that demonstrates impact, transparency, and accountability to funders and stakeholders. Contribute to the efficient management of the Catalytic Grant Fund (CGF) by ensuring financial accuracy, compliance, and insight into program spending. Partner with colleagues across departments to translate financial information into actionable insights that guide programmatic and strategic decisions. Some Other Things You Would Engage In Partner with the Director of Finance & Administration and ReFEDâs CPA on process improvement projects and systems upgrades. Lead vendor onboarding and relationship management, ensuring strong communication and equitable contracting practices. Participate in organization-wide planning, budgeting, and forecasting cycles. Collaborate with Development and Program teams to ensure grant budgets and expenditures align with deliverables. Support the annual audit and contribute to the development of stronger internal controls and documentation. Help strengthen cross-functional collaboration between Finance, Development, and other departments. Contribute ideas to make financial processes more accessible, user-friendly, and transparent across the organization. You Could Be A Great Candidate for This Role if You Are detail-oriented, organized, and motivated by accuracy and efficiency. Enjoy improving systems and workflows to make financial information more useful to others. Can move comfortably between transactional tasks (like journal entries or reconciliations) and strategic thinking (like improving reports or planning processes). Have strong accounting experience and want to apply it in a mission-driven nonprofit setting. Are an excellent communicator who can translate financial data into plain language for non-financial colleagues. Take initiative to identify challenges and propose practical, collaborative solutions. Are comfortable using and learning new financial systems and tools. We Think You Would Thrive in This Role and at ReFED if You: Are motivated by ReFEDâs mission to end food waste, and understand the connection between strong financial systems and organizational impact. Value collaboration, transparency, and inclusivity â and see finance as a service function that supports othersâ success. Are energized by the idea of joining a small, agile team that works across programs, operations, and strategy. Appreciate a culture that balances accountability with flexibility and mutual trust. Are comfortable working remotely and managing your time effectively while staying connected with a distributed team. Take pride in doing work that contributes to environmental, social, and economic sustainability. We Do Not Require: A specific degree or credentialâthough accounting or finance education is helpful, we value experience and demonstrated skill over formal qualifications. Prior experience in food systems, sustainability, or waste reductionâcuriosity and a willingness to learn are just as important. Nonprofit experienceâwe welcome candidates from the private sector, consulting, or other mission-driven organizations. That you meet every qualification listed. If this role excites you and you see yourself thriving at ReFED, we encourage you to apply â even if your experience doesnât align perfectly with every bullet point. \n $80,000 - $90,000 a year Compensation & Benefits ReFED offers a competitive salary and benefits package, opportunities for professional development, and policies and programs that encourage a healthy work-life balance. The salary for this position will be determined based on relevant experience and qualifications. We strive to provide a supportive and inclusive work environment where all team members can thrive and grow professionally, while maintaining their personal priorities and values. ReFEDâs U.S. benefits package includes: * 100% employee and 50% dependent premium coverage for medical, dental, and vision benefits; * Participation in employer-sponsored 401(k) plans with up to 4% employer matching; * Professional development opportunities, including an annual budget and the option to participate in ReFED's mentor program; * 18 paid vacation days annually; * 10 paid sick days annually; * Early closure between Memorial Day and Labor Day for Summer Fridays; * Paid family leave; * Approximately 13 paid company holidays annually, including closed offices during the last week of the year; * Short- and long-term disability coverage and term life insurance; * A flexible work environment with the option to work from home or a co-working space. \n ReFED values a diverse range of skills and experiences and encourages all interested candidates to apply, even if they don't meet all of the criteria listed. Our organization recognizes that everyone brings unique perspectives and strengths to the team, and we are committed to considering all applicants fairly and thoroughly. If you are passionate about our mission and excited about the role, don't hesitate to apply and tell us about yourself! Our Recruitment Process Our recruitment process includes the following steps: * Initial screening interview over video call. * 2-3 interviews over video call with different members of the team. * Skills assessment over video call which may or may not include an assignment to complete beforehand and present during the skills assessment meeting. All necessary information and guidance will be provided in advance. * References, usually three, will be requested, and reference checks will be conducted. We strive to maintain clear and frequent communication throughout the recruitment process, however, due to capacity limitations we may not be able to respond to every initial application. Our process always includes input from multiple team members with diverse backgrounds and perspectives from across the organization. Our Operating Environment ReFED is a distributed organization, with a team of 35+ working remotely from various locations across the United States. We use a range of digital collaboration and connectivity tools to facilitate our work, including Google Workspace, Slack, Zoom, Airtable, Salesforce, Miro, MS Office, Adobe, and Insperity. Our remote culture is built through a variety of means, including 3-4 annual in-person gatherings. These events include our annual team retreat, department retreats and the Food Waste Solutions Summit, a national convening of the food waste movement that we host annually. We also foster team connections through informal virtual get-togethers, ask-me-anything sessions with our Board and Advisory Council members, and peer recognition on our shoutouts channel in Slack. We have a âBig Dillâ spot bonus program and engage in conversation through our watercooler channel in Slack. Our in-person events are essential for team building, learning, and fun. Justice, Equity, Diversity, and Inclusion Commitment ReFED is committed to creating an inclusive work environment where all individuals have equal opportunities to contribute and grow. We recognize that our success is rooted in the diverse perspectives and backgrounds of our team members, and we strive to foster a culture of belonging where everyone feels valued and respected. As an equal opportunity employer, we are committed to recruiting, hiring, developing, training, and promoting individuals regardless of their gender identity, sex, race, religion, age, national origin, political affiliation, ancestry, sexual orientation, disability, or veteran status. We acknowledge that systemic barriers limit opportunities for certain groups, and we are dedicated to actively working to remove those barriers and promote justice, equity, diversity, and inclusion (JEDI) in all aspects of our organization. Our commitment to JEDI is an ongoing journey, and we are committed to continuously learning, listening, and improving our practices to create a more equitable and inclusive workplace for all. Please mention the word **RAPTURE** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.011490+00:00,Other,Other/Unspecified,[],0,,,unknown,
RemoteOK,Senior Systems Engineer Software,2100 NVIDIA USA,"US, CA, Remote",2025-12-14T16:00:02+00:00,,https://remoteOK.com/remote-jobs/remote-senior-systems-engineer-software-2100-nvidia-usa-1129220,"It's an exciting time to join the NVIDIA Cloud Native Engineering (NVCNE) groupâs backend software team! As a Cloud Platform Software Engineer, you will work alongside architects, designers, frontend engineers, SREs and others to deliver a software platform that supports the lifecycle of Artificial Intelligence (AI) super compute infrastructure on Kubernetes. Together we will enable AI services across the cloud. The engineer will write software that aligns with the broad architectural vision for the NVIDIA Cloud Platform, working with architects to develop a robust, scalable system. The engineer owns their code - from development to commit to test to production. They will be responsible for supporting SRE teams with development support and collaboration with internal product teams on sophisticated distributed systems problems at scale. This engineer will be encouraged to foster NVIDIAâs approach to Cloud Native development and especially Kubernetes. What you will be doing: Develop software systems to support large scale deployments of cloud infrastructure Design, develop and distribute APIs to support Infrastructure as Code (IaC) automation and deployment workflows. Responsible for contributing to multiple source code projects to fulfill NVIDIA requirements with software services Work and collaborate with engineering managers, architects, designers, and frontend engineers to deliver high quality software Automate the validation of software solutions with unit and integration tests Innovate with other engineers on proposed designs and product direction Openly share successes and failures in a no blame environment What we need to see: BS in Computer Science, Information Systems, Computer Engineering (or equivalent experience) and at least 12 years of overall experience 5-7 years of proven experience in large scale software development Experience building and delivering services on Kubernetes Proficiency with cloud-native infrastructure (AWS, GCP, Azure, OCI). Collaborated with teams to write software to support cloud services at scale Ability to troubleshoot issues across multiple layers: infrastructure, Kubernetes, application runtime. Strong proficiency in Golang for building Kubernetes operators, controllers, and custom tooling. Experience designing and managing Kubernetes Custom Resource Definitions (CRDs). Knowledge of managed Kubernetes services and scaling strategies across cloud and on-prem environments. Experience developing auto-scaling infrastructure components and incident response and root cause analysis. Ways to stand out from the crowd: Experience with Kubernetes Cluster API, Terraform, CSP API and other infrastructure tooling Background with using and contributing to open-source projects Solid experience with Kustomize, or other Kubernetes packaging tools. Capable of refactoring software to run in systems such as Kubernetes Ability to discuss and work with CSI, CNI, and CRI as well as familiarity with the CNCF and the tooling across the ecosystem NVIDIA is leading the way in groundbreaking developments in Artificial Intelligence, High-Performance Computing and Visualization. The GPU, our invention, serves as the visual cortex of modern computers and is at the heart of our products and services. Our work opens up new universes to explore, enables amazing creativity and discovery, and powers what were once science fiction inventions from artificial intelligence to autonomous cars. NVIDIA is looking for great people like you to help us accelerate the next wave of artificial intelligence. NVIDIA is widely considered to be one of the technology worldâs most desirable employers. We have some of the most forward-thinking and hardworking people on the planet working for us. If you're a creative, curious, and driven technical leader, we want to hear from you! Your base salary will be determined based on your location, experience, and the pay of employees in similar positions. The base salary range is 224,000 USD - 356,500 USD. You will also be eligible for equity and benefits. Applications for this job will be accepted at least until November 4, 2025. NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law. NVIDIA is the world leader in accelerated computing. NVIDIA pioneered accelerated computing to tackle challenges no one else can solve. Our work in AI and digital twins is transforming the world's largest industries and profoundly impacting society. Learn more about NVIDIA. Please mention the word **GRATITUDE** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.011810+00:00,Other,West Coast,"['aws', 'gcp', 'azure', 'kubernetes']",4,,,unknown,
RemoteOK,Software Engineer Infrastructure Supercomputing,xAI,Palo Alto,2025-12-13T20:00:42+00:00,,https://remoteOK.com/remote-jobs/remote-software-engineer-infrastructure-supercomputing-xai-1129217,"About xAI xAIâs mission is to create AI systems that can accurately understand the universe and aid humanity in its pursuit of knowledge. Our team is small, highly motivated, and focused on engineering excellence. This organization is for individuals who appreciate challenging themselves and thrive on curiosity. We operate with a flat organizational structure. All employees are expected to be hands-on and to contribute directly to the companyâs mission. Leadership is given to those who show initiative and consistently deliver excellence. Work ethic and strong prioritization skills are important. All engineers are expected to have strong communication skills. They should be able to concisely and accurately share knowledge with their teammates. Tech Stack Kubernetes Pulumi Rust and Go Flux / ArgoCD Location The role is based in the Bay Area [San Francisco and Palo Alto]. Candidates are expected to be located near the Bay Area or open to relocation. Focus Operating some of the worldâs largest GPU supercomputing clusters for both AI training and serving production models. Implement IaC best practices, enhancing deployment pipelines, and ensuring robust, secure service delivery across our production environments. Working with both on-premise clusters and cloud providers. Help with security best practices for internal researchers and live external traffic. Ideal Experiences Writing scalable and highly available containerized applications in Rust. Managing compute fleets with Pulumi, Terraform, Ansible, or other stateful automation libraries. Interview Process After submitting your application, the team reviews your CV and statement... Please mention the word **ENHANCES** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.012799+00:00,Software Engineer,East Coast,['kubernetes'],1,,,unknown,
RemoteOK,Staff DevOps Engineer,Heartflow,San Francisco,2025-12-13T20:00:18+00:00,,https://remoteOK.com/remote-jobs/remote-staff-devops-engineer-heartflow-1129216,"Heartflow is a medical technology company advancing the diagnosis and management of coronary artery disease, the #1 cause of death worldwide, using cutting-edge technology. The flagship productâan AI-driven, non-invasive cardiac test supported by the ACC/AHA Chest Pain Guidelines called the Heartflow FFR CT Analysisâprovides a color-coded, 3D model of a patientâs coronary arteries indicating the impact blockages have on blood flow to the heart. Heartflow is the first AI-driven non-invasive integrated heart care solution across the CCTA pathway that helps clinicians identify stenoses in the coronary arteries (RoadMapâ¢Analysis), assess coronary blood flow (FFR CT Analysis), and characterize and quantify coronary atherosclerosis (Plaque Analysis). Our pipeline of products is growing and so is our team; join us in helping to revolutionize precision heartcare. Heartflow is a publicly traded company (HTFL) that has received international recognition for exceptional strides in healthcare innovation, is supported by medical societies around the world, cleared for use in the US, UK, Europe, Japan and Canada, and has been used for more than 500,000 patients worldwide. Heartflow is transforming cardiovascular care with cutting-edge, non-invasive technology. We are launching a massive Platform Modernization initiative to powe Please mention the word **ENVIOUSLY** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.012989+00:00,DevOps,Central,[],0,,,unknown,
RemoteOK,Digital Marketing Manager Online Opportunity,mindmoneyreset,,2025-12-13T16:00:50+00:00,,https://remoteOK.com/remote-jobs/remote-digital-marketing-manager-online-opportunity-mindmoneyreset-1129215,"Join Our Rapidly Growing Global Team! Are you ready to be part of a dynamic company experiencing rapid growth? We're seeking motivated individuals who crave change and desire autonomy, flexibility, and above-average earnings. Who We Are Looking For: Individuals with 15-20 hours per week to commit to a new venture. Ambitious self-starters who value flexibility and freedom. People interested in operating globally as independent distributors. Self-motivated individuals with strong organizational skills and a drive to succeed. Those committed to providing excellent service and leading with integrity. Who You Are: No previous experience required; we provide full training. Coachable and trainable with ambitious goals. Committed to following our simple processes and systems. An entrepreneurial leader eager to succeed. We Provide: Full and ongoing one-on-one support. Daily live training and a supportive community of successful entrepreneurs. Access to a diverse product line operating in over 100 countries. Opportunities in Personal Development, Leadership, and Wealth Creation. A proven 3-step business system and turnkey model. Income opportunity through product sales and profit sharing. Comprehensive marketing support and training. Join Us Today: If you're ready to make a change and are committed to achieving executive-level income, apply now for an initial confidential phone interview. This is a self employment opportunity. Note: This opportunity is not suitable for students or visa seekers. Please mention the word **REALIZABLE** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.013675+00:00,Other,Other/Unspecified,[],0,,,unknown,
RemoteOK,Partnership Head,HR Force International,,2025-12-13T16:00:44+00:00,,https://remoteOK.com/remote-jobs/remote-partnership-head-hr-force-international-1129214,"We are seeking an experienced Head of Partnerships with a proven background in RegTech and IDV to join our growing team at Programmers Force. In this role, you will build and scale our global partnership ecosystem, driving revenue through strategic alliances. Key Responsibilities: Develop and execute global partnership strategy. Build relationships with system integrators, resellers, and fintech platforms. Negotiate and manage commercial agreements. Drive joint GTM programs with technology partners. Maximize channel-driven revenue. 8+ years in partnerships, alliances, or business development in SaaS/FinTech. Deep knowledge of RegTech, IDV, and compliance-driven industries. Strong negotiation and strategic planning skills. Proven success in creating revenue-generating partnerships. Please mention the word **FECILITOUS** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.014200+00:00,Other,Other/Unspecified,[],0,,,unknown,
RemoteOK,Danish Speaking Jobs Greece Work Greece Fully Paid Relocation Package,Mercier Consultancy MD,,2025-12-13T16:00:38+00:00,,https://remoteOK.com/remote-jobs/remote-danish-speaking-jobs-greece-work-greece-fully-paid-relocation-package-mercier-consultancy-md-1129213,"Mercier Consultancy MD is thrilled to announce exciting Danish Speaking job opportunities in Greece with a fully paid relocation package! This is an ideal chance for Danish-speaking professionals looking to advance their careers while enjoying the vibrant culture and lifestyle that Greece offers. With a commitment to providing exceptional service, you will be supporting our customers and helping them navigate our offerings effectively. Key Responsibilities Provide high-quality customer support in Danish via phone, email, and live chat. Assist customers with inquiries regarding products, services, and general queries. Document customer interactions and maintain accurate records to improve service quality. Resolve customer complaints efficiently and effectively, ensuring a high level of satisfaction. Collaborate with cross-functional teams to ensure customer needs are met and concerns are addressed. Stay knowledgeable about our offerings, updates, and industry trends to deliver informed support. Fluency in Danish (both written and spoken) is essential; proficiency in English is a plus. Prior experience in customer service or related fields is preferred. Strong communication skills and a customer-centric approach. Ability to handle multiple tasks and prioritize effectively in a fast-paced environment. Familiarity with customer support software and CRM systems is beneficial. A proactive attitude towards problem-solving and a commitment to delivering great customer experiences. Willingness to relocate to Greece and adapt to a new working environment. Competitive Monthly Salary Fully Paid Training Fully Paid Relocation Package Health Insurance 2 Extra Salaries Per Year And Much More... Please mention the word **AFFINITY** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.014738+00:00,Other,Other/Unspecified,[],0,,,unknown,
RemoteOK,French Speaking Jobs Greece Work Greece Fully Paid Relocation Package,Mercier Consultancy MD,,2025-12-13T16:00:32+00:00,,https://remoteOK.com/remote-jobs/remote-french-speaking-jobs-greece-work-greece-fully-paid-relocation-package-mercier-consultancy-md-1129212,"Mercier Consultancy MD is thrilled to announce exciting career opportunities for French-speaking individuals looking to work in Greece. This position not only offers a vibrant work environment but also includes a fully paid relocation package, making your transition as smooth as possible. Join our team and immerse yourself in a culturally rich experience while providing excellent service to our French-speaking clients. Key Responsibilities Provide exceptional customer service in French across various communication channels, including phone, email, and chat. Address client inquiries and support requests with professionalism and accuracy. Record customer interactions and maintain detailed documentation in our CRM system. Troubleshoot issues and resolve customer complaints efficiently to ensure satisfaction. Collaborate with internal teams to enhance processes and improve the overall customer experience. Stay informed about company products and services to provide clients with relevant information. Fluency in French (both written and spoken) is essential; proficiency in English is a bonus. Previous experience in customer service or a related field is highly desirable. Strong communication and interpersonal skills with an emphasis on customer satisfaction. Ability to work effectively under pressure while managing multiple tasks. Knowledge of CRM systems and customer support tools is an advantage. A positive attitude with a willingness to learn and grow professionally. Willingness to relocate to Greece and adapt to a new living environment. Competitive Monthly Salary Fully Paid Training Fully Paid Relocation Package Health Insurance 2 Extra Salaries Per Year And Much More... Please mention the word **OUTSHONE** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.015283+00:00,Other,Other/Unspecified,[],0,,,unknown,
RemoteOK,Danish Speaking Jobs Greece Work Greece Fully Paid Relocation Package,Mercier Consultancy MD,,2025-12-13T16:00:26+00:00,,https://remoteOK.com/remote-jobs/remote-danish-speaking-jobs-greece-work-greece-fully-paid-relocation-package-mercier-consultancy-md-1129211,"Mercier Consultancy MD is thrilled to announce exciting Danish Speaking job opportunities in Greece! For those interested in taking their career to the next level while experiencing a new culture, we offer fully paid relocation packages to help you transition smoothly. This is a unique chance to work in a vibrant environment while utilizing your Danish language skills in a dynamic, growing company. Key Responsibilities Provide exceptional support to Danish-speaking customers through a variety of channels including phone, email, and live chat. Assist clients with inquiries, account management, and product information in a professional manner. Document and track customer interactions and feedback in our CRM system. Resolve customer issues and complaints effectively, ensuring a high level of satisfaction. Collaborate with various teams to improve customer support services and address any challenges faced by clients. Stay updated on product knowledge and services offered to provide accurate information to customers. Fluency in Danish (both written and spoken) is essential; knowledge of English is beneficial. Experience in customer service or support roles is preferred. Excellent communication skills with a strong customer-oriented mindset. Ability to work efficiently in a fast-paced environment while managing multiple tasks. Familiarity with CRM systems and customer service software is a plus. Strong problem-solving skills and a proactive approach to customer engagement. Willingness to relocate to Greece and embrace a new opportunity. Competitive Monthly Salary 2 Extra Salaries Per Year Fully Paid Relocation Package Fully Paid Training Health Insurance And Much More... Please mention the word **DAZZLED** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.015822+00:00,Other,Other/Unspecified,[],0,,,unknown,
RemoteOK,Leadership Development Associate,Lifestyle Seed Consulting,,2025-12-13T16:00:20+00:00,,https://remoteOK.com/remote-jobs/remote-leadership-development-associate-lifestyle-seed-consulting-1129210,"We are inviting experienced professionals to explore a remote, independent role within the Personal and Leadership Development sector . This opportunity is designed for individuals who want to transfer their existing professional skills —such as communication, marketing, customer engagement, or team leadership—into a flexible, growth-focused online environment. If you are self-directed, open to learning, and motivated by purpose-driven work, this role offers a structured pathway with training, systems, and ongoing development. About the Organisation We operate in partnership with a well-established provider of online personal development and leadership education programs , recognised globally for quality and impact. Our programs support individuals in building confidence, emotional intelligence, resilience, and leadership capability. Due to continued expansion across North America, we are onboarding additional independent professionals to support this growth. Key Responsibilities In this role, you will: Communicate with individuals via phone, email, and digital platforms Engage in ongoing professional training and personal development Learn and apply established digital marketing systems and workflows Operate independently while following a structured process Apply leadership principles in daily work practices Manage your time and workload with accountability What Is Provided Full onboarding and ongoing training (live and recorded) Remote work using your phone and laptop Flexible schedule (part-time or full-time) Access to a supportive professional community Personal growth and leadership skill development A performance-based structure , where results reflect effort, consistency, and engagement Please note: This is a performance-based role. Outcomes vary depending on individual input. Ideal Candidate Profile This opportunity is best suited to individuals who: Have backgrounds in marketing, customer service, communications, training, education, team leadership, healthcare, finance, or professional services Are self-motivated and comfortable working independently Communicate clearly and professionally Are open to learning new systems and applying feedback Value personal growth and professional development Are willing to invest time and energy into their own development No prior experience in personal development is required. Comprehensive training is provided. Requirements Reliable internet access Ability to work remotely U.S. or Canadian citizenship or permanent residency Why Consider This Role? This opportunity may suit professionals who are seeking: Greater flexibility and autonomy A purpose-driven professional environment Continued learning and leadership development A shift from traditional workplace structures If you are ready to explore a flexible professional pathway that aligns with growth, contribution, and long-term development, we encourage you to apply for initial consideration. This could be a meaningful next step toward a more aligned and rewarding way of working. Please mention the word **AGILE** and tag RMjAuMTY5LjcyLjEw when applying to show you read the job post completely (#RMjAuMTY5LjcyLjEw). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.",2025-12-16T01:03:15.016872+00:00,Other,Other/Unspecified,[],0,,,unknown,
